"unitid","name","year","institution_size_category","level_of_institution","institutional_category","total_enrollment","full_time_enrollment","part_time_enrollment","full_time_equivalent_fall_enrollment","undergraduate_enrollment","first_time_degree_certificate_seeking_undergraduate_enrollment","transfer_in_degree_certificate_seeking_undergraduate_enrollment","continuing_degree_certificate_seeking_undergraduate_enrollment","nondegree_certificate_seeking_undergraduate_enrollment","full_time_undergraduate_enrollment","full_time_first_time_degree_certificate_seeking_undergraduate_enrollment","full_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","full_time_continuing_degree_certificate_seeking_undergraduate_enrollment","full_time_nondegree_certificate_seeking_undergraduate_enrollment","part_time_undergraduate_enrollment","part_time_first_time_degree_certificate_seeking_undergraduate_enrollment","part_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","part_time_continuing_degree_certificate_seeking_undergraduate_enrollment","part_time_nondegree_certificate_seeking_undergraduate_enrollment","percent_of_total_enrollment_that_are_american_indian_or_alaska_native","percent_of_total_enrollment_that_are_asian","percent_of_total_enrollment_that_are_black_or_african_american","percent_of_total_enrollment_that_are_hispanic_latino","percent_of_total_enrollment_that_are_native_hawaiian_or_other_pacific_islander","percent_of_total_enrollment_that_are_white","percent_of_total_enrollment_that_are_two_or_more_races","percent_of_total_enrollment_that_are_race_ethnicity_unknown","percent_of_total_enrollment_that_are_nonresident_alien","percent_of_total_enrollment_that_are_asian_native_hawaiian_pacific_islander","percent_of_total_enrollment_that_are_women","full_time_first_time_degree_certificate_seeking_undergraduates_grs_cohort_as_percent_of_all_undergraduates","adult_age_25_64_enrollment_all_students","adult_age_25_64_enrollment_undergraduate","adult_age_25_64_enrollment_full_time_students","adult_age_25_64_enrollment_full_time_undergraduate","adult_age_25_64_enrollment_part_time_students","adult_age_25_64_enrollment_part_time_undergraduate","percent_of_students_enrolled_exclusively_in_distance_education_courses","percent_of_students_enrolled_in_some_but_not_all_distance_education_courses","percent_of_students_not_enrolled_in_any_distance_education_courses","number_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__out_of_state","number_of_first_time_undergraduates__foreign_countries","percent_of_first_time_undergraduates__foreign_countries","number_of_first_time_undergraduates__residence_unknown","percent_of_first_time_undergraduates__residence_unknown","student_to_faculty_ratio","degree_of_urbanization_urban_centric_locale_"
113096,"Cosumnes River College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",14467,3576,10891,7233,14467,2322,1648,9408,1089,3576,898,217,2391,70,10891,1424,1431,7017,1019,0.01,0.27,0.14,0.24,0.02,0.25,0.06,0.02,0.01,0.29,0.57,0.06,5551,5551,785,785,4766,4766,0.11,0.14,0.75,2248,0.97,0,30,0.01,44,0.02,30,"City: Large"
113111,"Crafton Hills College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",5932,2209,3723,3459,5932,1067,587,3498,780,2209,574,135,1270,230,3723,493,452,2228,550,0,0.05,0.04,0.45,0,0.4,0.05,0,0,0.05,0.54,0.1,1631,1631,360,360,1271,1271,0.04,0.1,0.85,1015,0.95,0,52,0.05,0,0,29,"Rural: Fringe"
113193,"Cuesta College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",9221,3723,5498,5569,9221,1354,861,5649,1357,3723,870,418,2389,46,5498,484,443,3260,1311,0.01,0.03,0.01,0.29,0,0.6,0.05,0.01,0,0.03,0.52,0.09,2690,2690,619,619,2071,2071,0.08,0.13,0.79,1311,0.97,0.01,21,0.02,5,0,24,"Suburb: Small"
113218,"Cuyamaca College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8644,2141,6503,4324,8644,1205,1072,5311,1056,2141,540,139,1343,119,6503,665,933,3968,937,0,0.06,0.06,0.33,0,0.46,0.06,0.01,0,0.06,0.53,0.06,3450,3450,614,614,2836,2836,0.15,0.13,0.73,1166,0.97,0,18,0.01,21,0.02,25,"Suburb: Large"
113236,"Cypress College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",15816,5085,10731,8688,15816,2608,1914,10295,999,5085,1085,405,3564,31,10731,1523,1509,6731,968,0,0.22,0.04,0.45,0,0.2,0.04,0.03,0.01,0.22,0.56,0.07,4715,4715,914,914,3801,3801,0.05,0.13,0.82,2550,0.98,0,0,0,53,0.02,25,"Suburb: Large"
113333,"De Anza College",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",23104,11086,12018,15121,23104,3986,1591,14740,2787,11086,2772,578,7242,494,12018,1214,1013,7498,2293,0,0.34,0.03,0.26,0,0.21,0.05,0.01,0.09,0.35,0.48,0.12,6699,6699,1506,1506,5193,5193,0.05,0.12,0.82,3163,0.79,0,612,0.15,211,0.05,31,"City: Small"
113573,"College of the Desert",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",9719,3613,6106,5663,9719,1697,469,6771,782,3613,787,178,2605,43,6106,910,291,4166,739,0,0.03,0.03,0.68,0,0.2,0.02,0.01,0.03,0.03,0.53,0.08,3067,3067,775,775,2292,2292,0.02,0.12,0.86,1557,0.92,0.02,95,0.06,6,0,29,"Suburb: Large"
113634,"Diablo Valley College",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",20089,7503,12586,11729,20089,2654,1610,14050,1775,7503,1363,393,5617,130,12586,1291,1217,8433,1645,0,0.15,0.06,0.23,0,0.38,0.08,0.01,0.08,0.16,0.51,0.07,6206,6206,944,944,5262,5262,0.08,0.15,0.77,2098,0.79,0,436,0.16,120,0.05,27,"Suburb: Large"
113856,"East Los Angeles College",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",36012,7739,28273,17231,36012,4351,1673,26149,3839,7739,1667,347,5644,81,28273,2684,1326,20505,3758,0,0.1,0.04,0.67,0,0.06,0,0.1,0.02,0.1,0.49,0.05,17258,17258,1533,1533,15725,15725,0.03,0.06,0.92,4002,0.92,0,290,0.07,59,0.01,45,"City: Small"
113980,"El Camino Community College District",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",24207,8298,15909,13639,24207,4430,1500,16152,2125,8298,2466,342,5406,84,15909,1964,1158,10746,2041,0,0.13,0.16,0.49,0,0.13,0.04,0.01,0.02,0.14,0.52,0.1,6915,6915,1069,1069,5846,5846,0.03,0.07,0.9,4080,0.92,0,227,0.05,123,0.03,28,"Suburb: Large"
114266,"Evergreen Valley College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",9133,2737,6396,4884,9133,1119,729,5477,1808,2737,596,142,1751,248,6396,523,587,3726,1560,0.01,0.39,0.03,0.4,0,0.07,0.02,0.07,0,0.39,0.54,0.07,3180,3180,651,651,2529,2529,0.05,0.08,0.87,1060,0.95,0,29,0.03,30,0.03,26,"City: Large"
114433,"Feather River Community College District",2014,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",1715,746,969,1071,1715,426,235,882,172,746,266,95,374,11,969,160,140,508,161,0.02,0.03,0.14,0.18,0.01,0.56,0,0.04,0.02,0.04,0.43,0.16,867,867,219,219,648,648,0.02,0.14,0.84,352,0.83,0.12,0,0,22,0.05,22,"Rural: Fringe"
114716,"Foothill College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",15030,5255,9775,8537,15030,2058,2070,9350,1552,5255,1173,571,3396,115,9775,885,1499,5954,1437,0,0.24,0.04,0.23,0.01,0.33,0.05,0.02,0.08,0.24,0.49,0.08,5919,5919,1085,1085,4834,4834,0.24,0.21,0.54,1501,0.73,0,410,0.2,147,0.07,27,"Suburb: Large"
114789,"Fresno City College",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",22307,7820,14487,12684,22307,3691,1760,14319,2537,7820,1959,543,4812,506,14487,1732,1217,9507,2031,0.01,0.14,0.06,0.52,0,0.23,0.03,0.02,0,0.15,0.52,0.09,8419,8419,1725,1725,6694,6694,0.03,0.04,0.92,3587,0.97,0,40,0.01,64,0.02,25,"City: Large"
114859,"Fullerton College",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",25051,8828,16223,14275,25051,4401,2502,16087,2061,8828,2133,702,5857,136,16223,2268,1800,10230,1925,0,0.14,0.03,0.52,0,0.23,0.03,0.03,0.01,0.14,0.51,0.09,6208,6208,1140,1140,5068,5068,0.05,0.13,0.82,4297,0.98,0.01,0,0,78,0.02,29,"Suburb: Large"
114938,"Gavilan College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",5531,1933,3598,3141,5531,996,510,3248,777,1933,472,178,1209,74,3598,524,332,2039,703,0.01,0.06,0.02,0.56,0,0.3,0.02,0.03,0,0.06,0.53,0.09,1938,1938,439,439,1499,1499,0.04,0.2,0.77,990,0.99,0,0,0,2,0,23,"Suburb: Small"
115001,"Glendale Community College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",15112,6865,8247,9634,15112,2437,1017,10017,1641,6865,1401,372,4687,405,8247,1036,645,5330,1236,0,0.1,0.02,0.31,0,0.47,0.03,0.02,0.05,0.1,0.55,0.09,5582,5582,1881,1881,3701,3701,0.03,0.17,0.8,2150,0.88,0,192,0.08,95,0.04,26,"City: Midsize"
115126,"Golden West College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",12394,4394,8000,7080,12394,2298,1576,7592,928,4394,1265,318,2730,81,8000,1033,1258,4862,847,0,0.28,0.02,0.32,0.01,0.31,0.04,0.01,0.02,0.28,0.53,0.1,3599,3599,663,663,2936,2936,0.11,0.23,0.67,2190,0.95,0.01,87,0.04,2,0,31,"Suburb: Large"
115296,"Grossmont College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18040,6471,11569,10355,18040,2942,1712,11703,1683,6471,1435,492,4193,351,11569,1507,1220,7510,1332,0,0.08,0.07,0.32,0,0.41,0.07,0.01,0.03,0.09,0.56,0.08,5674,5674,1333,1333,4341,4341,0.08,0.14,0.79,2690,0.91,0,157,0.05,95,0.03,28,"Suburb: Large"
115393,"Hartnell College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",9800,3495,6305,5612,9800,2176,696,6289,639,3495,888,128,2419,60,6305,1288,568,3870,579,0,0.04,0.02,0.69,0,0.14,0.02,0.08,0,0.05,0.49,0.09,3904,3904,516,516,3388,3388,0.03,0.1,0.87,2140,0.98,0,6,0,30,0.01,31,"City: Midsize"
115861,"Imperial Valley College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8135,3955,4180,5358,8135,1704,17,5237,1177,3955,1152,8,2358,437,4180,552,9,2879,740,0,0.01,0.01,0.82,0,0.08,0,0.07,0,0.01,0.57,0.14,,,,,,,0,0.13,0.87,1500,0.88,0.01,50,0.03,142,0.08,29,"Rural: Fringe"
116439,"Irvine Valley College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",13157,4659,8498,7512,13157,2391,1477,7754,1535,4659,1386,291,2869,113,8498,1005,1186,4885,1422,0,0.25,0.02,0.25,0,0.35,0.05,0.02,0.06,0.26,0.5,0.11,3856,3856,519,519,3337,3337,0.09,0.18,0.73,1962,0.82,0,299,0.13,130,0.05,29,"City: Midsize"
117052,"Reedley College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",14633,5480,9153,8553,14633,3065,1410,8425,1733,5480,1843,417,2824,396,9153,1222,993,5601,1337,0,0.07,0.03,0.57,0,0.29,0.03,0.01,0,0.07,0.57,0.13,3810,3810,615,615,3195,3195,0.07,0.09,0.84,2961,0.97,0,21,0.01,83,0.03,27,"Town: Distant"
